STT,lat,lon,distance,rssi
1,21006237,105842995,47.93065233279454,-69.81532876901431
2,21005266,105843250,117.49182062287,-110.50510407872045
3,21005265,105843576,140.86431175571744,-123.95447858021728
4,21006322,105843400,90.92122150290172,-95.20143849041993
5,21006226,105842515,14.571671401729263,-46.937677400817634
6,21005699,105842998,64.00258478552327,-80.51915996223133
7,21005557,105842683,61.90737192657663,-74.13750781222865
8,21005603,105841771,98.63870915176526,-96.77263623355894
9,21005094,105842397,113.23391400658808,-102.86299692280377
10,21005171,105843258,126.48740544825036,-116.12150286536666
11,21005369,105843421,121.15371341723045,-114.23398108255077
12,21005243,105843048,108.20025045582346,-105.36031879575657
13,21006200,105842667,15.865818483799817,-49.11086613988044
14,21005857,105842864,41.86650829813924,-67.33651096914511
15,21005869,105843315,82.8313540133775,-91.45521185819157
16,21005853,105841779,85.36558765267647,-82.54499661056795
17,21005367,105843487,126.45619191115057,-116.00706434972189
18,21005071,105843128,129.0000941571612,-111.92656005430028
19,21006381,105843642,116.88932600178632,-110.25363270865589
20,21005074,105843373,142.2275686055828,-125.31548990418973
21,21006108,105842148,42.47677540497408,-62.751887030732945
22,21005652,105841990,77.2050332740975,-84.00700915218142
23,21005881,105843539,104.86388114656432,-103.46013737829406
24,21005202,105841717,132.69191935526482,-117.56723478148774
25,21006000,105842511,12.207492028475444,-44.579410789341864
26,21006160,105841827,76.0850908345868,-82.46515859865401
27,21005883,105843489,99.76838150206366,-101.28041439443382
28,21005121,105843641,156.69079633886494,-132.79465639762617
29,21005383,105842826,84.60686852438297,-86.49036735641353
30,21005279,105843338,122.21464383967204,-113.74438286165598
31,21005257,105843397,128.14481499893944,-116.35443935836376
32,21005065,105842398,116.41085919792263,-105.02576101884866
33,21005134,105843412,139.46740868844086,-122.88078175286768
34,21005164,105841891,125.07946793298844,-110.59029791731972
35,21005674,105841775,94.07140400828037,-87.35721022611642
36,21005283,105841896,113.97141091002827,-105.02299288733553
37,21005503,105842428,67.850809923482,-78.07484253784102
38,21005674,105842884,58.38432792814834,-76.18229274936539
39,21005937,105843563,106.04162002693215,-105.94984709002034
40,21006295,105842471,23.35339529281593,-54.990548413723964
41,21005953,105842941,43.138279508885695,-67.22670741120888
42,21005386,105842124,91.35908668599188,-91.84106720241142
43,21006290,105841878,73.57315412450664,-80.38795178228348
44,21005405,105842572,77.43163109973104,-83.72089869675906
45,21005414,105842566,76.42060986341865,-81.5919444064792
46,21005301,105841825,117.02804361435979,-106.13453461274082
47,21006403,105843379,91.7266646532657,-95.73148792160902
48,21005375,105842765,83.5913331861589,-85.94001623448099
49,21005541,105842540,62.31371487134286,-74.48485088512015
50,21005351,105841900,107.7658373081723,-100.55784512036787
51,21005421,105843124,95.85013054567382,-99.83114088218619
52,21006355,105843311,83.23511372005208,-90.79562380323506
53,21005433,105843142,95.97238599291539,-97.89761347329384
54,21005238,105842543,96.00235341074688,-92.78025150123115
55,21005655,105843185,81.93518534652638,-90.4897718607176
56,21006350,105843171,69.51222979089899,-82.86712421500503
57,21005562,105843520,116.59131454575366,-110.37309618924
58,21006293,105842736,28.311812690035058,-58.560567953869615
59,21006352,105841733,90.00193912176746,-90.26672297411402
60,21006279,105843350,84.69010395639725,-93.17529287066638
61,21005479,105841715,111.49366445927733,-103.48013311465006
62,21005962,105842599,16.06427194769134,-49.73656948129201
63,21006049,105843169,63.81138735259946,-79.3392390908412
64,21005126,105842948,115.79991719433166,-105.3557907042632
65,21005962,105842541,15.549956345547942,-48.489158113052746
66,21005075,105842746,115.79699338775423,-105.75112084278875
67,21006070,105841895,68.82702472216255,-78.18405312781712
68,21005436,105843635,134.16858870641008,-120.94682017788219
69,21005388,105843260,107.78823802711685,-104.93064756187704
70,21005764,105843426,97.71109841504382,-99.01472282901004
71,21006236,105842095,50.268196860046,-67.13361282912703
72,21005630,105843296,92.91437391272888,-97.14451375141513
73,21005306,105842108,99.96594861789373,-95.52563455803019
74,21005547,105842743,64.57718716691555,-76.81344434842711
75,21006267,105842794,30.76611835463615,-59.97102115875333
76,21005486,105842445,69.3879083586665,-78.66421434385332
77,21005063,105843485,150.38553459509052,-131.85216073166958
