STT,lat,lon,distance,rssi
1,21005246,105842200,88.17319886627972,-97.3985083253393
2,21005813,105841779,130.1120559155942,-113.83860835779936
3,21005944,105841869,125.68912345980077,-111.20702248070347
4,21005292,105843075,27.458897827737037,-57.122429266164694
5,21005124,105841893,122.79967790004521,-114.45338913390182
6,21005611,105841772,127.2337058119666,-118.73743026140252
7,21006177,105842895,73.0265670024821,-85.11871312714949
8,21005529,105842628,38.00541352833357,-64.55208154164445
9,21005531,105843185,19.838076136374852,-51.39910626152175
10,21005244,105843276,42.99215398212179,-66.73038055971499
11,21006027,105842933,55.97445829971389,-75.55223979704678
12,21005733,105843032,23.25061540816158,-54.36610478228118
13,21006033,105842967,56.35208172086588,-76.1602900710188
14,21005938,105843649,81.94994341628329,-90.71377985793063
15,21005251,105842786,37.53590531365718,-65.48309595484622
16,21005563,105843466,49.17490424716779,-70.57996219285883
17,21005181,105842042,106.08136146002141,-105.97591742295458
18,21006271,105843283,88.0280549427818,-93.77524957411083
19,21005096,105843106,49.330553447494246,-72.3940250271381
20,21005285,105843363,46.8262503668373,-70.30615427017452
21,21005234,105841789,129.29972631378072,-119.11320952138193
22,21005300,105842156,90.60563300417357,-95.38396017362938
23,21005453,105843293,32.12014705018306,-60.896493987713605
24,21005996,105842998,52.16844527438846,-73.54253461348353
25,21006001,105843555,78.56928948085746,-88.2643223673975
26,21005297,105842771,34.506226694882095,-61.60402755953455
27,21005575,105842282,74.12527817408302,-86.2959714409372
28,21005238,105841760,132.10702209150614,-121.22510260611853
29,21005974,105842379,80.93329645095655,-84.51993815047898
30,21006365,105841750,159.29285779613002,-125.8746057213645
31,21006004,105842725,59.96020334857392,-81.40979754834234
32,21005359,105843184,27.174126446783294,-57.6652374742922
33,21005063,105842904,52.44993641075573,-73.21266820570727
34,21006188,105843567,94.58205933135712,-100.65937184768647
35,21005209,105842393,71.7336864520956,-85.97824886883349
36,21006041,105843095,58.12609935948233,-75.88710056219632
37,21005435,105842279,74.94620268452559,-86.0606661740825
38,21005901,105842755,48.44021252973105,-70.0717794512433
39,21005401,105841900,114.46024691985423,-109.78120988213165
40,21005361,105843648,70.37555322414323,-83.413926495413
41,21005528,105841805,123.46360941794303,-114.01612312930668
42,21005113,105843368,60.23887495453247,-77.08805086768112
43,21006003,105841970,118.78259404684775,-106.20959647719843
44,21006311,105843607,107.96400536058519,-106.54373491453443
45,21005730,105842943,23.192364157099895,-54.54052625837578
